date,pctChg
2011-01-21,1.405778
2011-01-24,-0.720879
2011-01-25,-0.678412
2011-01-26,1.172096
2011-01-27,1.489063
2011-01-28,0.130953
2011-01-31,1.378407
2011-02-01,0.296194
2011-02-09,-0.889438
2011-02-10,1.589658
2011-02-11,0.325205
2011-02-14,2.539718
2011-02-15,0.003554
2011-02-16,0.850532
2011-02-17,0.104932
2011-02-18,-0.928338
2011-02-21,1.119187
2011-02-22,-2.616765
2011-02-23,0.249269
2011-02-24,0.557843
2011-02-25,-0.001323
2011-02-28,0.920182
2011-03-01,0.477339
2011-03-02,-0.175127
2011-03-03,-0.371681
2011-03-04,1.354743
2011-03-07,1.832067
2011-03-08,0.124522
2011-03-09,0.073740
2011-03-10,-1.499290
2011-03-11,-0.789518
2011-03-14,0.130583
2011-03-15,-1.408309
2011-03-16,1.192845
2011-03-17,-1.143231
2011-03-18,0.330925
2011-03-21,0.077436
2011-03-22,0.343921
2011-03-23,1.004917
2011-03-24,-0.060065
2011-03-25,1.055684
2011-03-28,0.207901
2011-03-29,-0.868899
2011-03-30,-0.077953
2011-03-31,-0.935793
2011-04-01,1.342122
2011-04-06,1.144102
2011-04-07,0.218195
2011-04-08,0.735131
2011-04-11,-0.240094
2011-04-12,-0.045561
2011-04-13,0.960791
2011-04-14,-0.254489
2011-04-15,0.259343
2011-04-18,0.223018
2011-04-19,-1.906504
2011-04-20,0.266622
2011-04-21,0.652831
2011-04-22,-0.533619
2011-04-25,-1.513566
2011-04-26,-0.875899
2011-04-27,-0.461827
2011-04-28,-1.311407
2011-04-29,0.847477
2011-05-03,0.710181
2011-05-04,-2.256707
2011-05-05,0.222852
2011-05-06,-0.296548
2011-05-09,0.299382
2011-05-10,0.632701
2011-05-11,-0.249568
2011-05-12,-1.364245
2011-05-13,0.947511
2011-05-16,-0.765025
2011-05-17,0.130080
2011-05-18,0.701004
2011-05-19,-0.459383
2011-05-20,-0.038991
2011-05-23,-2.934794
2011-05-24,-0.270787
2011-05-25,-0.914869
2011-05-26,-0.190166
2011-05-27,-0.971307
2011-05-30,-0.132325
2011-05-31,1.371245
2011-06-01,0.003649
2011-06-02,-1.399311
2011-06-03,0.844273
2011-06-07,0.596771
2011-06-08,0.218199
2011-06-09,-1.706844
2011-06-10,0.066514
2011-06-13,-0.176115
2011-06-14,1.098406
2011-06-15,-0.901420
2011-06-16,-1.520939
2011-06-17,-0.805652
2011-06-20,-0.815992
2011-06-21,0.962516
2011-06-22,0.107242
2011-06-23,1.469357
2011-06-24,2.156121
2011-06-27,0.437659
2011-06-28,0.035237
2011-06-29,-1.113329
2011-06-30,1.231198
2011-07-01,-0.098255
2011-07-04,1.937261
2011-07-05,0.125741
2011-07-06,-0.208638
2011-07-07,-0.576838
2011-07-08,0.125501
2011-07-11,0.175782
2011-07-12,-1.716559
2011-07-13,1.484582
2011-07-14,0.535437
2011-07-15,0.346025
2011-07-18,-0.123431
2011-07-19,-0.699583
2011-07-20,-0.099315
2011-07-21,-1.013205
2011-07-22,0.177013
2011-07-25,-2.961031
2011-07-26,0.531095
2011-07-27,0.757154
2011-07-28,-0.540293
2011-07-29,-0.260195
2011-08-01,0.076024
2011-08-02,-0.907023
2011-08-03,-0.028886
2011-08-04,0.207354
2011-08-05,-2.146614
2011-08-08,-3.792503
2011-08-09,-0.029517
2011-08-10,0.914700
2011-08-11,1.268333
2011-08-12,0.451869
2011-08-15,1.295591
2011-08-16,-0.708246
2011-08-17,-0.264746
2011-08-18,-1.606493
2011-08-19,-0.981219
2011-08-22,-0.729766
2011-08-23,1.516617
2011-08-24,-0.506182
2011-08-25,2.918822
2011-08-26,-0.117502
2011-08-29,-1.369538
2011-08-30,-0.381077
2011-08-31,0.029031
2011-09-01,-0.440070
2011-09-02,-1.086131
2011-09-05,-1.959475
2011-09-06,-0.331422
2011-09-07,1.844393
2011-09-08,-0.681493
2011-09-09,-0.047628
2011-09-13,-1.058872
2011-09-14,0.547159
2011-09-15,-0.232289
2011-09-16,0.132635
2011-09-19,-1.794599
2011-09-20,0.408564
2011-09-21,2.663993
2011-09-22,-2.781816
2011-09-23,-0.405146
2011-09-26,-1.642960
2011-09-27,0.913881
2011-09-28,-0.952026
2011-09-29,-1.116986
2011-09-30,-0.258865
2011-10-10,-0.611764
2011-10-11,0.159034
2011-10-12,3.043789
2011-10-13,0.776448
2011-10-14,-0.304046
2011-10-17,0.371275
2011-10-18,-2.332279
2011-10-19,-0.250605
2011-10-20,-1.940936
2011-10-21,-0.604412
2011-10-24,2.289677
2011-10-25,1.659645
2011-10-26,0.739016
2011-10-27,0.335081
2011-10-28,1.551802
2011-10-31,-0.208615
2011-11-01,0.071672
2011-11-02,1.380105
2011-11-03,0.159026
2011-11-04,0.805547
2011-11-07,-0.731516
2011-11-08,-0.237594
2011-11-09,0.842028
2011-11-10,-1.797407
2011-11-11,0.062435
2011-11-14,1.919731
2011-11-15,0.041399
2011-11-16,-2.482527
2011-11-17,-0.158620
2011-11-18,-1.887252
2011-11-21,-0.059263
2011-11-22,-0.103716
2011-11-23,-0.727840
2011-11-24,0.103923
2011-11-25,-0.722813
2011-11-28,0.118048
2011-11-29,1.232006
2011-11-30,-3.273886
2011-12-01,2.290466
2011-12-02,-1.097511
2011-12-05,-1.162175
2011-12-06,-0.313899
2011-12-07,0.293432
2011-12-08,-0.124743
2011-12-09,-0.624514
2011-12-12,-1.024723
2011-12-13,-1.874492
2011-12-14,-0.892345
2011-12-15,-2.137283
2011-12-16,2.015002
2011-12-19,-0.296874
2011-12-20,-0.103919
2011-12-21,-1.118356
2011-12-22,-0.221383
2011-12-23,0.845576
2011-12-26,-0.665545
2011-12-27,-1.091499
2011-12-28,0.175785
2011-12-29,0.163506
2011-12-30,1.189567
2012-01-04,-1.365230
2012-01-05,-0.965156
2012-01-06,0.695530
2012-01-09,2.888741
2012-01-10,2.688992
2012-01-11,-0.424282
2012-01-12,-0.045513
2012-01-13,-1.337574
2012-01-16,-1.710207
2012-01-17,4.178368
2012-01-18,-1.391937
2012-01-19,1.310057
2012-01-20,1.003581
2012-01-30,-1.469517
2012-01-31,0.331374
2012-02-01,-1.069961
2012-02-02,1.960946
2012-02-03,0.771835
2012-02-06,0.031366
2012-02-07,-1.683037
2012-02-08,2.427151
2012-02-09,0.087713
2012-02-10,0.101799
2012-02-13,-0.005356
2012-02-14,-0.301208
2012-02-15,0.935311
2012-02-16,-0.415844
2012-02-17,0.013611
2012-02-20,0.272190
2012-02-21,0.754486
2012-02-22,0.930407
2012-02-23,0.248256
2012-02-24,1.248114
2012-02-27,0.304512
2012-02-28,0.196156
2012-02-29,-0.953150
2012-03-01,-0.097677
2012-03-02,1.425247
2012-03-05,-0.637672
2012-03-06,-1.413368
2012-03-07,-0.649304
2012-03-08,1.064055
2012-03-09,0.792721
2012-03-12,-0.188690
2012-03-13,0.859846
2012-03-14,-2.629085
2012-03-15,-0.730003
2012-03-16,1.304343
2012-03-19,0.226553
2012-03-20,-1.383503
2012-03-21,0.057049
2012-03-22,-0.101888
2012-03-23,-1.104185
2012-03-26,0.045118
2012-03-27,-0.145502
2012-03-28,-2.654159
2012-03-29,-1.432074
2012-03-30,0.471910
2012-04-05,1.743552
2012-04-06,0.187296
2012-04-09,-0.900733
2012-04-10,0.878736
2012-04-11,0.132792
2012-04-12,1.816385
2012-04-13,0.352929
2012-04-16,-0.090499
2012-04-17,-0.935109
2012-04-18,1.964158
2012-04-19,-0.092986
2012-04-20,1.186774
2012-04-23,-0.759293
2012-04-24,0.010303
2012-04-25,0.752627
2012-04-26,-0.087916
2012-04-27,-0.348531
2012-05-02,1.757703
2012-05-03,0.067422
2012-05-04,0.489076
2012-05-07,-0.002728
2012-05-08,-0.124921
2012-05-09,-1.645530
2012-05-10,0.068217
2012-05-11,-0.632598
2012-05-14,-0.595320
2012-05-15,-0.247071
2012-05-16,-1.206443
2012-05-17,1.393496
2012-05-18,-1.444624
2012-05-21,0.161228
2012-05-22,1.064891
2012-05-23,-0.415870
2012-05-24,-0.527372
2012-05-25,-0.740966
2012-05-28,1.191915
2012-05-29,1.197147
2012-05-30,-0.207899
2012-05-31,-0.521418
2012-06-01,0.050676
2012-06-04,-2.733842
2012-06-05,0.145804
2012-06-06,-0.102127
2012-06-07,-0.711178
2012-06-08,-0.509472
2012-06-11,1.069888
2012-06-12,-0.696702
2012-06-13,1.272302
2012-06-14,-0.990892
2012-06-15,0.474926
2012-06-18,0.398895
2012-06-19,-0.658754
2012-06-20,-0.344141
2012-06-21,-1.395627
2012-06-25,-1.626048
2012-06-26,-0.092042
2012-06-27,-0.230993
2012-06-28,-0.951362
2012-06-29,1.347450
2012-07-02,0.030520
2012-07-03,0.138493
2012-07-04,-0.084254
2012-07-05,-1.165615
2012-07-06,1.009655
2012-07-09,-2.372982
2012-07-10,-0.293759
2012-07-11,0.505722
2012-07-12,0.464650
2012-07-13,0.018488
2012-07-16,-1.735671
2012-07-17,0.615979
2012-07-18,0.366146
2012-07-19,0.725737
2012-07-20,-0.741616
2012-07-23,-1.255896
2012-07-24,0.242225
2012-07-25,-0.486271
2012-07-26,-0.475012
2012-07-27,0.129867
2012-07-30,-0.885529
2012-07-31,-0.297644
2012-08-01,0.937714
2012-08-02,-0.573535
2012-08-03,1.023787
2012-08-06,1.037142
2012-08-07,0.125485
2012-08-08,0.156185
2012-08-09,0.606762
2012-08-10,-0.243231
2012-08-13,-1.509400
2012-08-14,0.301816
2012-08-15,-1.100563
2012-08-16,-0.318463
2012-08-17,0.127549
2012-08-20,-0.375153
2012-08-21,0.536842
2012-08-22,-0.498385
2012-08-23,0.254356
2012-08-24,-0.992300
2012-08-27,-1.739684
2012-08-28,0.848664
2012-08-29,-0.960804
2012-08-30,-0.031664
2012-08-31,-0.246664
2012-09-03,0.567759
2012-09-04,-0.752638
2012-09-05,-0.292027
2012-09-06,0.698683
2012-09-07,3.696249
2012-09-10,0.335146
2012-09-11,-0.671655
2012-09-12,0.282945
2012-09-13,-0.760623
2012-09-14,0.638180
2012-09-17,-2.135132
2012-09-18,-0.912053
2012-09-19,0.402424
2012-09-20,-2.079184
